Model,Test_Accuracy
XGB,0.8369320012890751
Convolutional RFC,0.8275862068965517
Convolutional SMV,0.8266194005800838
Convolutional XGB,0.8256525942636158
Convolutional KNN,0.8227521753142121
SMV,0.8195294875926523
CNN,0.817595899105072
RFC,0.8008378988076056
Convolutional GNB,0.7834353851111827
KNN,0.7657106026426039
GNB,0.5259426361585562
